day,x,y,z
317,-2.205189967683448E12,-1.4820602290726936E12,2.4409696207018442E7
318,-2.2116348710016064E12,-1.486595803238678E12,2.4459940175817892E7
319,-2.2180796580517075E12,-1.491131299231523E12,2.451018326463831E7
320,-2.224524329524065E12,-1.4956667175048308E12,2.4560425478777476E7
321,-2.230968886102853E12,-1.500202058508261E12,2.4610666823486205E7
322,-2.2374133284661787E12,-1.5047373226875757E12,2.466090730396889E7
323,-2.243857657286153E12,-1.509272510484685E12,2.4711146925384052E7
324,-2.2503018732289624E12,-1.5138076223376912E12,2.476138569284486E7
325,-2.256745976954939E12,-1.518342658680932E12,2.4811623611419674E7
326,-2.2631899691186265E12,-1.522877619945024E12,2.486186068613255E7
327,-2.2696338503688496E12,-1.5274125065569048E12,2.491209692196376E7
328,-2.276077621348781E12,-1.5319473189398755E12,2.4962332323850285E7
329,-2.2825212826960044E12,-1.536482057513641E12,2.5012566896686327E7
330,-2.2889648350425825E12,-1.5410167226943516E12,2.5062800645323783E7
331,-2.295408279015118E12,-1.545551314894642E12,2.5113033574572735E7
332,-2.3018516152348184E12,-1.550085834523672E12,2.5163265689201917E7
333,-2.3082948443175547E12,-1.5546202819871648E12,2.5213496993939195E7
334,-2.3147379668739263E12,-1.559154657687445E12,2.5263727493472017E7
335,-2.321180983509319E12,-1.5636889620234778E12,2.5313957192447867E7
336,-2.327623894823963E12,-1.5682231953909048E12,2.536418609547472E7
337,-2.3340667014129946E12,-1.5727573581820818E12,2.541441420712148E7
338,-2.340509403866511E12,-1.577291450786115E12,2.5464641531918414E7
339,-2.346952002769629E12,-1.581825473588897E12,2.5514868074357577E7
340,-2.353394498702538E12,-1.586359426973141E12,2.5565093838893246E7
341,-2.3598368922405596E12,-1.5908933113184177E12,2.5615318829942327E7
342,-2.3662791839541978E12,-1.5954271270011875E12,2.5665543051884767E7
343,-2.3727213744091953E12,-1.599960874394836E12,2.571576650906396E7
344,-2.379163464166586E12,-1.6044945538697063E12,2.576598920578715E7
345,-2.3856054537827456E12,-1.609028165793133E12,2.5816211146325815E7
346,-2.392047343809445E12,-1.613561710529474E12,2.586643233491607E7
347,-2.3984891347939E12,-1.6180951884401433E12,2.5916652775759038E7
348,-2.404930827278822E12,-1.6226285998836414E12,2.5966872473021224E7
349,-2.411372421802466E12,-1.627161945215588E12,2.6017091430834908E7
350,-2.417813918898681E12,-1.631695224788752E12,2.6067309653298486E7
351,-2.4242553190969585E12,-1.6362284389530825E12,2.611752714447685E7
352,-2.430696622922476E12,-1.640761588055738E12,2.6167743908401735E7
353,-2.4371378308961484E12,-1.6452946724411165E12,2.6217959949072085E7
354,-2.4435789435346714E12,-1.6498276924508848E12,2.6268175270454384E7
355,-2.450019961350568E12,-1.654360648424007E12,2.631838987648301E7
356,-2.456460884852232E12,-1.658893540696774E12,2.6368603771060564E7
357,-2.4629017145439746E12,-1.6634263696028293E12,2.641881695805822E7
358,-2.469342450926066E12,-1.6679591354731995E12,2.646902944131604E7
359,-2.47578309449478E12,-1.6724918386363193E12,2.6519241224643297E7
360,-2.482223645742434E12,-1.6770244794180603E12,2.6569452311818812E7
361,-2.4886641051574355E12,-1.6815570581417563E12,2.661966270659125E7
362,-2.4951044732243184E12,-1.6860895751282307E12,2.6669872412679445E7
363,-2.5015447504237866E12,-1.6906220306958213E12,2.6720081433772713E7
364,-2.5079849372327544E12,-1.6951544251604067E12,2.6770289773531143E7
365,-2.5144250341243857E12,-1.699686758835432E12,2.6820497435585905E7
366,-2.5208650415681333E12,-1.7042190320319321E12,2.687070442353954E7
